POSTE,NOM,LON,LAT,ALT,DateTime,GLO,QGLO
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-00,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-01,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-02,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-03,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-04,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-05,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-06,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-07,24,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-08,88,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-09,126,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-10,286,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-11,341,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-12,347,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-13,381,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-14,339,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-15,162,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-16,92,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-17,96,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-18,52,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-19,17,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-20,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-21,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-22,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-01-23,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-00,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-01,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-02,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-03,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-04,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-05,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-06,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-07,30,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-08,118,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-09,204,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-10,284,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-11,340,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-12,249,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-13,329,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-14,202,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-15,120,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-16,96,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-17,35,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-18,28,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-19,6,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-20,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-21,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-22,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-02-23,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-00,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-01,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-02,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-03,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-04,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-05,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-06,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-07,35,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-08,103,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-09,206,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-10,279,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-11,335,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-12,354,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-13,386,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-14,371,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-15,312,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-16,184,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-17,116,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-18,28,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-19,2,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-20,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-21,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-22,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-03-23,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-04-00,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-04-01,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-04-02,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-04-03,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-04-04,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-04-05,0,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-04-06,1,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-04-07,22,t
97418110,GILLOT-AEROPORT,55.524,-20.889,8,2019-01-04-08,103,t
